iter	Passed	Remaining
1082	9960	36024
1083	9969	36016
1084	9978	36006
1085	9987	35996
1086	9996	35985
1087	10005	35975
1088	10014	35965
1089	10023	35954
1090	10032	35944
1091	10041	35934
1092	10050	35926
1093	10059	35917
1094	10068	35906
1095	10077	35896
1096	10086	35885
1097	10095	35875
1098	10103	35864
1099	10112	35854
1100	10121	35843
1101	10130	35833
1102	10139	35822
1103	10148	35812
1104	10157	35805
1105	10167	35796
1106	10175	35786
1107	10184	35775
1108	10193	35765
1109	10202	35754
1110	10211	35743
1111	10220	35734
1112	10228	35723
1113	10237	35712
1114	10247	35704
1115	10256	35697
1116	10266	35687
1117	10275	35678
1118	10284	35669
1119	10293	35658
1120	10302	35649
1121	10311	35639
1122	10320	35629
1123	10330	35624
1124	10339	35613
1125	10348	35602
1126	10356	35591
1127	10365	35580
1128	10374	35571
1129	10383	35560
1130	10392	35551
1131	10401	35540
1132	10409	35529
1133	10418	35518
1134	10427	35508
1135	10436	35497
1136	10445	35489
1137	10454	35479
1138	10464	35471
1139	10473	35463
1140	10482	35454
1141	10491	35444
1142	10501	35435
1143	10510	35425
1144	10518	35414
1145	10527	35403
1146	10536	35392
1147	10544	35382
1148	10553	35370
1149	10562	35360
1150	10571	35350
1151	10579	35339
1152	10589	35330
1153	10597	35320
1154	10606	35309
1155	10615	35298
1156	10624	35287
1157	10632	35276
1158	10641	35265
1159	10650	35258
1160	10660	35249
1161	10669	35240
1162	10678	35229
1163	10687	35221
1164	10696	35210
1165	10705	35200
1166	10713	35190
1167	10722	35179
1168	10731	35168
1169	10740	35157
1170	10749	35150
1171	10758	35139
1172	10767	35129
1173	10776	35119
1174	10786	35113
1175	10795	35103
1176	10804	35092
1177	10813	35085
1178	10822	35075
1179	10831	35065
1180	10840	35053
1181	10849	35044
1182	10858	35034
1183	10867	35026
1184	10876	35016
1185	10886	35007
1186	10894	34997
1187	10904	34989
1188	10913	34979
1189	10922	34969
1190	10933	34966
1191	10943	34960
1192	10952	34950
1193	10961	34940
1194	10970	34931
